feedback_id,feedback_date,source,product_area,product_name,rating_score,sentiment_score,nps_score,linked_case_id,verbatim_text
FB000021,2025-05-05,Social,Floodlight & Outdoor,Jonly Floodlight Max,5,0.75,10.0,JNL002460,The video quality on my Jonly Floodlight Max is excellent and notifications are reliable.
FB000022,2025-05-24,Post-Contact Survey,Floodlight & Outdoor,Jonly Floodlight Max,2,-0.54,7.0,,My Jonly Floodlight Max from Jonly keeps going offline and support hasn’t fully resolved it.
FB000023,2025-05-23,Social,Camera Hardware,Jonly Cam Outdoor,2,-0.26,0.0,JNL000600,Still having issues with the Camera Hardware despite multiple contacts with Jonly support.
FB000024,2025-06-08,Community,Account & Billing,Jonly Doorbell Pro,3,0.58,5.0,JNL001352,"Mixed feelings about my Jonly Doorbell Pro so far, some features are good and some are frustrating."
FB000025,2025-05-02,Community,Subscription & Cloud,Jonly Secure Subscription,4,0.83,0.0,JNL004006,The video quality on my Jonly Secure Subscription is excellent and notifications are reliable.
FB000026,2025-05-03,Post-Contact Survey,Setup & Onboarding,Jonly Doorbell Pro,3,-0.26,3.0,JNL005475,The overall Jonly experience is okay but there is room for improvement in the Setup & Onboarding.
FB000027,2025-06-26,Play Store Review,Subscription & Cloud,Jonly Secure Subscription,5,0.78,,,Customer care resolved my issue quickly and the Jonly app feels great now.
FB000028,2025-07-24,Post-Contact Survey,Doorbell & Entry,Jonly Doorbell Pro,1,-0.94,9.0,JNL002869,My Jonly Doorbell Pro from Jonly keeps going offline and support hasn’t fully resolved it.
FB000029,2025-07-12,Play Store Review,Mobile App,Jonly Cam Outdoor,3,-0.33,,JNL003738,The overall Jonly experience is okay but there is room for improvement in the Mobile App.
FB000030,2025-05-04,Community,Doorbell & Entry,Jonly Doorbell Pro,3,-0.02,7.0,,"Mixed feelings about my Jonly Doorbell Pro so far, some features are good and some are frustrating."
FB000031,2025-07-16,Post-Contact Survey,Setup & Onboarding,Jonly Doorbell Pro,3,-0.06,5.0,JNL005441,The overall Jonly experience is okay but there is room for improvement in the Setup & Onboarding.
FB000032,2025-07-13,App Store Review,Camera Hardware,Jonly Cam Outdoor,5,1.0,,JNL002537,The video quality on my Jonly Cam Outdoor is excellent and notifications are reliable.
FB000033,2025-05-08,Community,Camera Hardware,Jonly Cam Outdoor,2,-0.78,10.0,JNL003161,Billing for my Jonly subscription is confusing and feels unreliable.
FB000034,2025-06-11,Play Store Review,Setup & Onboarding,Jonly Doorbell Pro,3,-0.33,,JNL003783,"Mixed feelings about my Jonly Doorbell Pro so far, some features are good and some are frustrating."
FB000035,2025-05-29,Post-Contact Survey,Subscription & Cloud,Jonly Secure Subscription,4,0.41,9.0,JNL000960,The video quality on my Jonly Secure Subscription is excellent and notifications are reliable.
FB000036,2025-07-26,In-App Survey,Mobile App,Jonly Hub Plus,3,-0.13,0.0,JNL002355,The overall Jonly experience is okay but there is room for improvement in the Mobile App.
FB000037,2025-06-06,Post-Contact Survey,Subscription & Cloud,Jonly Secure Subscription,5,1.0,9.0,,The video quality on my Jonly Secure Subscription is excellent and notifications are reliable.
FB000038,2025-06-03,In-App Survey,Floodlight & Outdoor,Jonly Floodlight Max,2,-0.94,3.0,JNL004068,Still having issues with the Floodlight & Outdoor despite multiple contacts with Jonly support.
FB000039,2025-05-09,Social,Camera Hardware,Jonly Cam Outdoor,1,-0.87,5.0,JNL003291,Billing for my Jonly subscription is confusing and feels unreliable.
FB000040,2025-05-10,Post-Contact Survey,Subscription & Cloud,Jonly Secure Subscription,5,0.83,10.0,,The video quality on my Jonly Secure Subscription is excellent and notifications are reliable.
FB000041,2025-05-06,Community,Camera Hardware,Jonly Cam Outdoor,3,-0.1,3.0,,"Mixed feelings about my Jonly Cam Outdoor so far, some features are good and some are frustrating."
FB000042,2025-07-19,Post-Contact Survey,Subscription & Cloud,Jonly Secure Subscription,2,-0.48,0.0,,Billing for my Jonly subscription is confusing and feels unreliable.
FB000043,2025-07-20,In-App Survey,Floodlight & Outdoor,Jonly Floodlight Max,3,0.3,3.0,,"Mixed feelings about my Jonly Floodlight Max so far, some features are good and some are frustrating."
FB000044,2025-05-24,Post-Contact Survey,Account & Billing,Jonly Secure Subscription,4,0.18,9.0,,The Account & Billing experience is much better after the latest update.
FB000045,2025-07-17,App Store Review,Camera Hardware,Jonly Cam Indoor,4,0.36,,JNL001240,The Camera Hardware experience is much better after the latest update.
FB000046,2025-06-17,Post-Contact Survey,Setup & Onboarding,Jonly Secure Subscription,4,0.53,5.0,,"Very happy with my Jonly Secure Subscription from Jonly, everything works smoothly."
FB000047,2025-05-29,Community,Setup & Onboarding,Jonly Secure Subscription,4,0.71,5.0,JNL004827,The Setup & Onboarding experience is much better after the latest update.
FB000048,2025-06-16,Community,Mobile App,Jonly Floodlight Max,3,-0.08,3.0,JNL000034,The overall Jonly experience is okay but there is room for improvement in the Mobile App.
FB000049,2025-05-17,In-App Survey,Floodlight & Outdoor,Jonly Floodlight Max,2,-1.0,5.0,JNL003025,Billing for my Jonly subscription is confusing and feels unreliable.
FB000050,2025-06-16,Social,Subscription & Cloud,Jonly Secure Subscription,4,0.62,9.0,,"Very happy with my Jonly Secure Subscription from Jonly, everything works smoothly."
FB000051,2025-07-23,In-App Survey,Mobile App,Jonly Doorbell Pro,5,0.61,10.0,JNL004582,The video quality on my Jonly Doorbell Pro is excellent and notifications are reliable.
FB000052,2025-07-11,In-App Survey,Mobile App,Jonly Cam Outdoor,3,0.08,5.0,JNL003229,The overall Jonly experience is okay but there is room for improvement in the Mobile App.
FB000053,2025-06-18,Post-Contact Survey,Setup & Onboarding,Jonly Secure Subscription,4,0.88,5.0,JNL003281,"Very happy with my Jonly Secure Subscription from Jonly, everything works smoothly."
FB000054,2025-06-07,Play Store Review,Setup & Onboarding,Jonly Hub Mini,4,1.0,,JNL001711,The video quality on my Jonly Hub Mini is excellent and notifications are reliable.
FB000055,2025-06-02,Social,Floodlight & Outdoor,Jonly Floodlight Max,3,-0.35,9.0,JNL002786,The overall Jonly experience is okay but there is room for improvement in the Floodlight & Outdoor.
FB000056,2025-07-05,Play Store Review,Account & Billing,Jonly Cam Outdoor,3,0.49,,JNL004644,The overall Jonly experience is okay but there is room for improvement in the Account & Billing.
FB000057,2025-05-24,Post-Contact Survey,Doorbell & Entry,Jonly Doorbell Pro,5,0.62,5.0,JNL002979,"Very happy with my Jonly Doorbell Pro from Jonly, everything works smoothly."
FB000058,2025-05-31,Post-Contact Survey,Account & Billing,Jonly Hub Plus,5,0.99,10.0,JNL001704,The video quality on my Jonly Hub Plus is excellent and notifications are reliable.
FB000059,2025-05-08,Post-Contact Survey,Camera Hardware,Jonly Cam Outdoor,4,0.52,0.0,JNL002067,Customer care resolved my issue quickly and the Jonly app feels great now.
FB000060,2025-06-16,Retailer Review,Floodlight & Outdoor,Jonly Floodlight Max,4,0.85,,JNL003885,"Very happy with my Jonly Floodlight Max from Jonly, everything works smoothly."
FB000061,2025-06-05,Community,Subscription & Cloud,Jonly Secure Subscription,5,1.0,7.0,JNL003999,The video quality on my Jonly Secure Subscription is excellent and notifications are reliable.
FB000062,2025-07-04,Social,Subscription & Cloud,Jonly Secure Subscription,1,-1.0,10.0,JNL002555,Still having issues with the Subscription & Cloud despite multiple contacts with Jonly support.
FB000063,2025-07-31,Social,Subscription & Cloud,Jonly Secure Subscription,2,-0.13,5.0,JNL002807,Billing for my Jonly subscription is confusing and feels unreliable.
FB000064,2025-07-17,Play Store Review,Camera Hardware,Jonly Cam Outdoor,4,0.77,,JNL001323,"Very happy with my Jonly Cam Outdoor from Jonly, everything works smoothly."
FB000065,2025-06-01,Play Store Review,Camera Hardware,Jonly Cam Indoor,5,1.0,,JNL004328,Customer care resolved my issue quickly and the Jonly app feels great now.
FB000066,2025-06-05,Post-Contact Survey,Account & Billing,Jonly Secure Subscription,3,-0.18,3.0,JNL004450,The overall Jonly experience is okay but there is room for improvement in the Account & Billing.
FB000067,2025-07-18,Post-Contact Survey,Floodlight & Outdoor,Jonly Floodlight Max,5,0.93,7.0,,Customer care resolved my issue quickly and the Jonly app feels great now.
FB000068,2025-06-21,Social,Doorbell & Entry,Jonly Doorbell Pro,4,1.0,5.0,,"Very happy with my Jonly Doorbell Pro from Jonly, everything works smoothly."
FB000069,2025-07-27,In-App Survey,Doorbell & Entry,Jonly Doorbell Pro,4,0.63,5.0,,Customer care resolved my issue quickly and the Jonly app feels great now.
FB000070,2025-06-09,Play Store Review,Mobile App,Jonly Doorbell Pro,5,1.0,,JNL001369,Customer care resolved my issue quickly and the Jonly app feels great now.
FB000071,2025-07-17,App Store Review,Camera Hardware,Jonly Cam Indoor,5,1.0,,,Customer care resolved my issue quickly and the Jonly app feels great now.
FB000072,2025-05-30,Social,Setup & Onboarding,Jonly Doorbell Pro,3,0.7,5.0,JNL005024,The overall Jonly experience is okay but there is room for improvement in the Setup & Onboarding.
FB000073,2025-06-13,In-App Survey,Subscription & Cloud,Jonly Secure Subscription,5,0.63,9.0,,The video quality on my Jonly Secure Subscription is excellent and notifications are reliable.
FB000074,2025-07-04,In-App Survey,Camera Hardware,Jonly Cam Indoor,4,1.0,3.0,,The Camera Hardware experience is much better after the latest update.
FB000075,2025-06-01,Community,Subscription & Cloud,Jonly Secure Subscription,4,1.0,5.0,JNL004037,Customer care resolved my issue quickly and the Jonly app feels great now.
FB000076,2025-06-20,In-App Survey,Account & Billing,Jonly Hub Mini,5,0.35,7.0,,"Very happy with my Jonly Hub Mini from Jonly, everything works smoothly."
FB000077,2025-06-19,Post-Contact Survey,Setup & Onboarding,Jonly Doorbell Pro,3,0.52,7.0,,"Mixed feelings about my Jonly Doorbell Pro so far, some features are good and some are frustrating."
FB000078,2025-05-21,Post-Contact Survey,Doorbell & Entry,Jonly Doorbell Pro,5,1.0,0.0,JNL004958,Customer care resolved my issue quickly and the Jonly app feels great now.
FB000079,2025-07-09,App Store Review,Floodlight & Outdoor,Jonly Floodlight Max,5,1.0,,JNL002864,Customer care resolved my issue quickly and the Jonly app feels great now.
FB000080,2025-07-11,Community,Account & Billing,Jonly Cam Indoor,5,1.0,5.0,JNL000837,The Account & Billing experience is much better after the latest update.
FB000081,2025-06-05,In-App Survey,Account & Billing,Jonly Cam Indoor,1,-0.55,9.0,JNL002767,The Jonly app is slow and keeps freezing when I check live view on my Jonly Cam Indoor.
FB000082,2025-05-08,Social,Account & Billing,Jonly Cam Outdoor,3,-0.03,9.0,JNL005000,The overall Jonly experience is okay but there is room for improvement in the Account & Billing.
FB000083,2025-06-03,Post-Contact Survey,Account & Billing,Jonly Doorbell Pro,4,0.45,7.0,JNL005350,Customer care resolved my issue quickly and the Jonly app feels great now.
FB000084,2025-07-06,Post-Contact Survey,Subscription & Cloud,Jonly Secure Subscription,3,-0.69,5.0,,The overall Jonly experience is okay but there is room for improvement in the Subscription & Cloud.
FB000085,2025-06-30,Play Store Review,Floodlight & Outdoor,Jonly Floodlight Max,4,0.69,,,"Very happy with my Jonly Floodlight Max from Jonly, everything works smoothly."
FB000086,2025-05-25,Play Store Review,Mobile App,Jonly Doorbell Pro,4,0.57,,,The Mobile App experience is much better after the latest update.
FB000087,2025-05-01,Retailer Review,Account & Billing,Jonly Hub Mini,3,-0.38,,JNL001463,"Mixed feelings about my Jonly Hub Mini so far, some features are good and some are frustrating."
FB000088,2025-06-10,App Store Review,Subscription & Cloud,Jonly Secure Subscription,3,0.49,,,"Mixed feelings about my Jonly Secure Subscription so far, some features are good and some are frustrating."
FB000089,2025-05-29,App Store Review,Account & Billing,Jonly Doorbell Pro,4,0.36,,JNL003243,The video quality on my Jonly Doorbell Pro is excellent and notifications are reliable.
FB000090,2025-05-27,Post-Contact Survey,Doorbell & Entry,Jonly Doorbell Pro,4,0.65,0.0,JNL000696,The Doorbell & Entry experience is much better after the latest update.
FB000091,2025-05-04,Post-Contact Survey,Doorbell & Entry,Jonly Doorbell Pro,2,-0.51,7.0,JNL001041,Still having issues with the Doorbell & Entry despite multiple contacts with Jonly support.
FB000092,2025-07-03,App Store Review,Account & Billing,Jonly Hub Mini,1,-1.0,,JNL003813,The Jonly app is slow and keeps freezing when I check live view on my Jonly Hub Mini.
FB000093,2025-05-03,Retailer Review,Account & Billing,Jonly Cam Outdoor,1,-0.68,,JNL004882,My Jonly Cam Outdoor from Jonly keeps going offline and support hasn’t fully resolved it.
FB000094,2025-05-25,Play Store Review,Floodlight & Outdoor,Jonly Floodlight Max,3,0.0,,,"Mixed feelings about my Jonly Floodlight Max so far, some features are good and some are frustrating."
FB000095,2025-06-20,Community,Account & Billing,Jonly Cam Indoor,2,-0.17,9.0,JNL004492,The Jonly app is slow and keeps freezing when I check live view on my Jonly Cam Indoor.
FB000096,2025-06-28,Post-Contact Survey,Subscription & Cloud,Jonly Secure Subscription,2,-0.51,7.0,JNL005323,Still having issues with the Subscription & Cloud despite multiple contacts with Jonly support.
FB000097,2025-06-24,In-App Survey,Account & Billing,Jonly Hub Plus,4,0.22,5.0,JNL001141,The video quality on my Jonly Hub Plus is excellent and notifications are reliable.
FB000098,2025-05-27,Play Store Review,Mobile App,Jonly Hub Plus,5,0.74,,,The Mobile App experience is much better after the latest update.
FB000099,2025-05-03,Social,Mobile App,Jonly Cam Indoor,5,1.0,9.0,,The Mobile App experience is much better after the latest update.
FB000100,2025-06-20,Post-Contact Survey,Camera Hardware,Jonly Cam Indoor,4,0.58,5.0,JNL001744,Customer care resolved my issue quickly and the Jonly app feels great now.
FB000101,2025-06-20,Play Store Review,Account & Billing,Jonly Floodlight Max,4,0.17,,JNL004805,Customer care resolved my issue quickly and the Jonly app feels great now.
FB000102,2025-06-13,Post-Contact Survey,Mobile App,Jonly Doorbell Pro,3,0.33,9.0,JNL003433,The overall Jonly experience is okay but there is room for improvement in the Mobile App.
FB000103,2025-07-11,App Store Review,Camera Hardware,Jonly Cam Outdoor,5,0.31,,JNL002899,The video quality on my Jonly Cam Outdoor is excellent and notifications are reliable.
FB000104,2025-07-05,App Store Review,Doorbell & Entry,Jonly Doorbell Pro,4,0.66,,,The video quality on my Jonly Doorbell Pro is excellent and notifications are reliable.
FB000105,2025-07-16,Post-Contact Survey,Camera Hardware,Jonly Cam Outdoor,5,0.97,5.0,,The Camera Hardware experience is much better after the latest update.
FB000106,2025-07-24,App Store Review,Doorbell & Entry,Jonly Doorbell Pro,4,0.17,,JNL004289,"Very happy with my Jonly Doorbell Pro from Jonly, everything works smoothly."
FB000107,2025-07-05,App Store Review,Floodlight & Outdoor,Jonly Floodlight Max,5,0.48,,,The Floodlight & Outdoor experience is much better after the latest update.
FB000108,2025-05-25,Post-Contact Survey,Mobile App,Jonly Hub Plus,3,-0.47,0.0,JNL001228,The overall Jonly experience is okay but there is room for improvement in the Mobile App.
FB000109,2025-05-23,Community,Floodlight & Outdoor,Jonly Floodlight Max,3,-0.05,7.0,JNL005072,The overall Jonly experience is okay but there is room for improvement in the Floodlight & Outdoor.
FB000110,2025-07-07,Post-Contact Survey,Subscription & Cloud,Jonly Secure Subscription,4,0.6,9.0,JNL002671,The video quality on my Jonly Secure Subscription is excellent and notifications are reliable.
FB000111,2025-07-23,Retailer Review,Subscription & Cloud,Jonly Secure Subscription,4,-0.18,,,"Very happy with my Jonly Secure Subscription from Jonly, everything works smoothly."
FB000112,2025-07-24,In-App Survey,Subscription & Cloud,Jonly Secure Subscription,3,0.32,5.0,,The overall Jonly experience is okay but there is room for improvement in the Subscription & Cloud.
FB000113,2025-05-24,Social,Doorbell & Entry,Jonly Doorbell Pro,5,0.92,5.0,JNL002269,"Very happy with my Jonly Doorbell Pro from Jonly, everything works smoothly."
FB000114,2025-05-05,Post-Contact Survey,Mobile App,Jonly Cam Outdoor,2,-0.55,7.0,,My Jonly Cam Outdoor from Jonly keeps going offline and support hasn’t fully resolved it.
FB000115,2025-06-19,Post-Contact Survey,Floodlight & Outdoor,Jonly Floodlight Max,4,0.22,5.0,JNL000520,The video quality on my Jonly Floodlight Max is excellent and notifications are reliable.
FB000116,2025-06-23,Post-Contact Survey,Setup & Onboarding,Jonly Hub Mini,3,-1.0,10.0,JNL004142,The overall Jonly experience is okay but there is room for improvement in the Setup & Onboarding.
FB000117,2025-05-14,In-App Survey,Account & Billing,Jonly Cam Outdoor,3,-0.42,7.0,,"Mixed feelings about my Jonly Cam Outdoor so far, some features are good and some are frustrating."
FB000118,2025-05-29,Social,Setup & Onboarding,Jonly Secure Subscription,4,0.62,9.0,JNL003917,The Setup & Onboarding experience is much better after the latest update.
FB000119,2025-07-02,In-App Survey,Doorbell & Entry,Jonly Doorbell Pro,4,1.0,5.0,,Customer care resolved my issue quickly and the Jonly app feels great now.
FB000120,2025-05-12,In-App Survey,Account & Billing,Jonly Hub Plus,4,0.07,10.0,,The Account & Billing experience is much better after the latest update.
FB000121,2025-07-07,In-App Survey,Mobile App,Jonly Doorbell Pro,4,0.32,3.0,,The Mobile App experience is much better after the latest update.
FB000122,2025-06-19,Retailer Review,Subscription & Cloud,Jonly Secure Subscription,5,0.71,,JNL003215,The video quality on my Jonly Secure Subscription is excellent and notifications are reliable.
FB000123,2025-06-13,Community,Mobile App,Jonly Doorbell Pro,2,-0.69,5.0,JNL005499,The Jonly app is slow and keeps freezing when I check live view on my Jonly Doorbell Pro.
FB000124,2025-06-26,Post-Contact Survey,Mobile App,Jonly Secure Subscription,3,-0.67,0.0,JNL001743,"Mixed feelings about my Jonly Secure Subscription so far, some features are good and some are frustrating."
FB000125,2025-05-11,Post-Contact Survey,Subscription & Cloud,Jonly Secure Subscription,5,0.53,7.0,,The Subscription & Cloud experience is much better after the latest update.
FB000126,2025-06-17,Post-Contact Survey,Setup & Onboarding,Jonly Hub Mini,5,0.15,10.0,,Customer care resolved my issue quickly and the Jonly app feels great now.
FB000127,2025-05-15,Post-Contact Survey,Doorbell & Entry,Jonly Doorbell Pro,3,-0.25,7.0,JNL001125,"Mixed feelings about my Jonly Doorbell Pro so far, some features are good and some are frustrating."
FB000128,2025-07-26,Community,Setup & Onboarding,Jonly Secure Subscription,5,0.52,9.0,JNL000772,The video quality on my Jonly Secure Subscription is excellent and notifications are reliable.
FB000129,2025-05-26,App Store Review,Subscription & Cloud,Jonly Secure Subscription,5,0.89,,,The Subscription & Cloud experience is much better after the latest update.
FB000130,2025-06-12,Post-Contact Survey,Floodlight & Outdoor,Jonly Floodlight Max,2,-1.0,9.0,,The Jonly app is slow and keeps freezing when I check live view on my Jonly Floodlight Max.
FB000131,2025-06-19,Post-Contact Survey,Setup & Onboarding,Jonly Doorbell Pro,4,0.06,9.0,JNL003536,The video quality on my Jonly Doorbell Pro is excellent and notifications are reliable.
FB000132,2025-05-28,Play Store Review,Account & Billing,Jonly Hub Mini,3,-0.11,,JNL001604,"Mixed feelings about my Jonly Hub Mini so far, some features are good and some are frustrating."
FB000133,2025-06-21,Community,Setup & Onboarding,Jonly Doorbell Pro,3,0.15,5.0,JNL002998,The overall Jonly experience is okay but there is room for improvement in the Setup & Onboarding.
FB000134,2025-06-26,App Store Review,Camera Hardware,Jonly Cam Outdoor,3,0.37,,JNL003758,"Mixed feelings about my Jonly Cam Outdoor so far, some features are good and some are frustrating."
FB000135,2025-05-17,App Store Review,Camera Hardware,Jonly Cam Outdoor,2,-0.64,,,My Jonly Cam Outdoor from Jonly keeps going offline and support hasn’t fully resolved it.
FB000136,2025-05-12,Post-Contact Survey,Doorbell & Entry,Jonly Doorbell Pro,4,0.4,10.0,JNL005112,Customer care resolved my issue quickly and the Jonly app feels great now.
FB000137,2025-06-13,Post-Contact Survey,Subscription & Cloud,Jonly Secure Subscription,3,-0.01,10.0,JNL000527,The overall Jonly experience is okay but there is room for improvement in the Subscription & Cloud.
FB000138,2025-07-30,App Store Review,Account & Billing,Jonly Floodlight Max,4,0.45,,,The Account & Billing experience is much better after the latest update.
FB000139,2025-07-26,Play Store Review,Setup & Onboarding,Jonly Cam Indoor,5,0.87,,,"Very happy with my Jonly Cam Indoor from Jonly, everything works smoothly."
FB000140,2025-07-12,Post-Contact Survey,Account & Billing,Jonly Floodlight Max,4,0.68,5.0,JNL002228,"Very happy with my Jonly Floodlight Max from Jonly, everything works smoothly."
FB000141,2025-05-12,Social,Subscription & Cloud,Jonly Secure Subscription,5,1.0,3.0,,The Subscription & Cloud experience is much better after the latest update.
FB000142,2025-05-18,Play Store Review,Mobile App,Jonly Cam Indoor,3,-0.26,,JNL001062,"Mixed feelings about my Jonly Cam Indoor so far, some features are good and some are frustrating."
FB000143,2025-05-04,App Store Review,Floodlight & Outdoor,Jonly Floodlight Max,4,0.53,,,Customer care resolved my issue quickly and the Jonly app feels great now.
FB000144,2025-07-25,Play Store Review,Doorbell & Entry,Jonly Doorbell Pro,4,0.6,,JNL004396,The video quality on my Jonly Doorbell Pro is excellent and notifications are reliable.
FB000145,2025-06-01,Social,Doorbell & Entry,Jonly Doorbell Pro,4,0.45,9.0,,"Very happy with my Jonly Doorbell Pro from Jonly, everything works smoothly."
FB000146,2025-05-08,Social,Camera Hardware,Jonly Cam Outdoor,3,0.15,7.0,JNL001502,"Mixed feelings about my Jonly Cam Outdoor so far, some features are good and some are frustrating."
FB000147,2025-07-06,Retailer Review,Camera Hardware,Jonly Cam Outdoor,2,-0.6,,,Billing for my Jonly subscription is confusing and feels unreliable.
FB000148,2025-07-02,Play Store Review,Account & Billing,Jonly Cam Outdoor,3,0.41,,,The overall Jonly experience is okay but there is room for improvement in the Account & Billing.
FB000149,2025-05-01,Post-Contact Survey,Mobile App,Jonly Hub Mini,1,-0.81,9.0,,Still having issues with the Mobile App despite multiple contacts with Jonly support.
FB000150,2025-05-17,In-App Survey,Account & Billing,Jonly Cam Outdoor,4,0.36,5.0,JNL001822,"Very happy with my Jonly Cam Outdoor from Jonly, everything works smoothly."
FB000151,2025-07-24,App Store Review,Mobile App,Jonly Cam Outdoor,4,0.49,,JNL000997,The video quality on my Jonly Cam Outdoor is excellent and notifications are reliable.
FB000152,2025-05-20,Social,Doorbell & Entry,Jonly Doorbell Pro,4,0.42,10.0,JNL004531,The video quality on my Jonly Doorbell Pro is excellent and notifications are reliable.
FB000153,2025-05-12,Social,Camera Hardware,Jonly Cam Indoor,5,1.0,9.0,,Customer care resolved my issue quickly and the Jonly app feels great now.
FB000154,2025-06-12,Play Store Review,Mobile App,Jonly Cam Indoor,5,0.9,,JNL000354,The Mobile App experience is much better after the latest update.
FB000155,2025-06-07,Community,Doorbell & Entry,Jonly Doorbell Pro,5,0.71,9.0,,The Doorbell & Entry experience is much better after the latest update.
FB000156,2025-06-28,Post-Contact Survey,Setup & Onboarding,Jonly Doorbell Pro,4,0.73,10.0,JNL001484,The Setup & Onboarding experience is much better after the latest update.
FB000157,2025-07-13,App Store Review,Setup & Onboarding,Jonly Hub Plus,4,1.0,,,Customer care resolved my issue quickly and the Jonly app feels great now.
FB000158,2025-05-07,Post-Contact Survey,Camera Hardware,Jonly Cam Outdoor,5,0.91,0.0,JNL001687,Customer care resolved my issue quickly and the Jonly app feels great now.
FB000159,2025-07-14,Post-Contact Survey,Mobile App,Jonly Hub Mini,4,0.89,10.0,JNL001458,Customer care resolved my issue quickly and the Jonly app feels great now.
FB000160,2025-07-05,Retailer Review,Mobile App,Jonly Cam Outdoor,5,1.0,,JNL000149,Customer care resolved my issue quickly and the Jonly app feels great now.
FB000161,2025-06-12,In-App Survey,Doorbell & Entry,Jonly Doorbell Pro,1,-1.0,7.0,JNL000152,The Jonly app is slow and keeps freezing when I check live view on my Jonly Doorbell Pro.
FB000162,2025-05-10,App Store Review,Floodlight & Outdoor,Jonly Floodlight Max,3,0.19,,JNL002013,"Mixed feelings about my Jonly Floodlight Max so far, some features are good and some are frustrating."
FB000163,2025-06-24,App Store Review,Floodlight & Outdoor,Jonly Floodlight Max,4,0.79,,JNL005326,The video quality on my Jonly Floodlight Max is excellent and notifications are reliable.
FB000164,2025-06-11,Social,Doorbell & Entry,Jonly Doorbell Pro,4,0.82,3.0,,The video quality on my Jonly Doorbell Pro is excellent and notifications are reliable.
FB000165,2025-07-13,Post-Contact Survey,Account & Billing,Jonly Doorbell Pro,4,-0.09,7.0,,Customer care resolved my issue quickly and the Jonly app feels great now.
